PubOrPriv,approx_cp_,operator_o,DocsURL,wwtp_name,permit,county,uic_num,tmk,type,owner_type,class,atu_date,lat_dd,long_dd,shape_1,act217incl,act217note,gpd_capaci,gpd_usage,customer_c,info,ImageURL,excess_gpd
Public,0,County of Maui,https://go.hawaii.edu/hCm,Haliimaile Waste Stabilization Ponds,101,Maui, ,225003005,WWTP,Private,1,NULL,20.876068000000000,-156.340192000000002, ,y, ,0,166,166, , ,0
Private,0,Water Tectonics,https://go.hawaii.edu/RMm,"Makena Resort - 720,000 gpd",116,Maui, ,221008108,Reuse R1,Private,3,5/7/1986,20.648173000000000,-156.431518000000011, ,y, ,720000,100000,28, ,https://uhm.maps.arcgis.com/sharing/rest/content/items/9417c12672dd468aa8fe4bcfb728e1b8/data,620000
Private,3009,Hawai'i Water Service Co,https://go.hawaii.edu/mMd,"Pukalani WWTP - 400,000 gpd",118,Maui, ,223061116,Reuse R1,Private,2,3/11/2011,20.829984000000000,-156.354212999999987, ,y, ,400000,180000,1009, ,https://uhm.maps.arcgis.com/sharing/rest/content/items/6ee88a4ae9c242de8e1e61f2a466cd33/data,220000
Private,222,Hawai'i American Water Co,https://go.hawaii.edu/mM9,East Honolulu Community Svcs - 5.2 mgd (NPDES),202,C&C Honolulu, ,139015025,WWTP,Private,4,NULL,21.288481000000001,-157.672172999999987, ,y, ,5200000,3700000,9947, ,https://uhm.maps.arcgis.com/sharing/rest/content/items/b68d1dcdb4714435845ecf7afcb2b74b/data,1500000
Public,0,C&C Honolulu,https://go.hawaii.edu/hMm,Laie WWTP (BYU-Hawaii),213,C&C Honolulu, ,155006033,Reuse R1,Public,4,NULL,21.643699999999999,-157.931364000000002, ,y, ,900000,530000,0, , ,370000
Private,495,Managed by Aqua Engineers,https://go.hawaii.edu/mM4,Turtle Bay Resort Wastewater Treatment Plant,237,C&C Honolulu,UO-1532,157001035,Reuse R2,Private,3,NULL,21.694963000000001,-157.990638999999987, ,y, ,160000,160000,860, ,https://uhm.maps.arcgis.com/sharing/rest/content/items/455916e8841141e8a90535f57c48aece/data,0
Public,0,County of Hawai'i,https://go.hawaii.edu/PQm,Hilo WWTP,302,Hawaii, ,321013013,WWTP,Public,4,NULL,19.713678999999999,-155.019189000000011, ,y, ,5000000,3000000,30000, , ,2000000
Public,0,County of Hawai'i,https://go.hawaii.edu/mQV,Kealakehe WWTP,303,Hawaii, ,374008058,Reuse R2,Public,3,NULL,19.660305999999999,-156.015229000000005, ,y, ,5300000,1800000,0, , ,3500000
Public,0,County of Hawai'i,https://go.hawaii.edu/mQx,Kulaimano,305,Hawaii, ,328007075,WWTP,Public,3,NULL,19.832295999999999,-155.094201999999996, ,y, ,150000,100000,0, , ,50000
Public,0,County of Hawai'i,https://go.hawaii.edu/2Qm,Papaikou STP,306,Hawaii, ,327004126,WWTP,Public,3,NULL,19.782647000000001,-155.087039000000004, ,y, ,350000,90000,3200, , ,260000
Public,0,County of Kauai,https://go.hawaii.edu/NMm,Eleele WWTP,307,Kauai,UK-1212,421001043,WWTP,Public,4,NULL,21.901809000000000,-159.584650000000011, ,y, ,800000,400000,1506, , ,400000
Public,0,County of Kauai,https://go.hawaii.edu/mC4,Lihue Wastewater Treatment Plant,308,Kauai,UK-1213,435001030,Reuse R2,Public,4,3/24/2010,21.969211999999999,-159.351153000000011, ,y, ,2500000,1250000,2219, , ,1250000
Public,0,County of Kauai,https://go.hawaii.edu/mMw,Wailua WWTP,309,Kauai, ,439006019,Reuse R2,Public,4,NULL,22.039379000000000,-159.336640999999986, ,y, ,1500000,700000,251, , ,800000
Public,0,County of Kauai,https://go.hawaii.edu/MMm,Waimea Wastewater Treatment Plant,310,Kauai,UK-2405,412006036,WWTP,Public,4,4/27/2018,21.963037000000000,-159.678307999999987, ,y, ,300000,250000,545, , ,50000
Public,0,County of Maui,https://go.hawaii.edu/BQm,Lanai Wastewater Reclamation Facility,311,Maui, ,249014015,WWTP,Public,1,NULL,20.818418999999999,-156.923025999999993, ,y, ,500000,350000,0, , ,198000
Public,0,County of Maui,https://go.hawaii.edu/XQm,Kihei WWTP,312,Maui,UM-1396,222024010,Reuse R1,Public,4,1/16/1992,20.735455000000002,-156.444252000000006, ,y,GPD Flow source: https://mauinow.com/2024/09/25/council-resolution-urges-prioritized-recycled-wastewater-use-for-new-housing/,8000000,3930000,4906, , ,4000000
Public,0,County of Maui,https://go.hawaii.edu/XQm,Lahaina WWTP,313,Maui,UM-1357,244002029,Reuse R1,Public,4,NULL,20.945798000000000,-156.687088999999986, ,y,GPD Flow from Sept 25 2024 Maui News article https://mauinow.com/2024/09/25/council-resolution-urges-prioritized-recycled-wastewater-use-for-new-housing,9000000,3410000,2352, , ,0
Public,0,County of Maui,https://go.hawaii.edu/mMQ,Wailuku-Kahului,314,Maui,UM-1398,238001188,Reuse R2,Public,4,NULL,20.895600000000002,-156.456244999999996, ,y, ,7900000,5540000,13256, , ,2360000
Public,0,County of Maui, ,Kaunakakai Wastewater Treatment Plant,315,Maui,UM-1397,253005002,WWTP,Public,3,2/11/2008,21.091189000000000,-157.027184000000005, ,y, ,300000,184000,535, , ,116000
Public,0,C&C Honolulu,https://go.hawaii.edu/mWJ,Honouliuli WWTP,317,C&C Honolulu, ,191013007,WWTP,Public,4,NULL,21.330200000000001,-158.036998000000011, ,y, ,38000000,27000000,325000,https://www.honolulu.gov/env/wp-content/uploads/sites/29/2023/10/Honouliuli.pdf,https://uhm.maps.arcgis.com/sharing/rest/content/items/5b3cb31f45964e40a9e1e4bc865d14f8/data,11000000
Public,0,C&C Honolulu,https://go.hawaii.edu/mQF,Kahuku WWTP,318,C&C Honolulu,UO-1257,156002024,WWTP,Public,3,NULL,21.683944000000000,-157.953977000000009, ,y, ,454400,180000,0,https://www.honolulu.gov/env/wp-content/uploads/sites/29/2023/10/Kahuku.pdf,https://uhm.maps.arcgis.com/sharing/rest/content/items/b4ceef27eb564774a3232964b49bcb50/data,270000
Public,0,C&C Honolulu,https://go.hawaii.edu/aQm,Kailua,319,C&C Honolulu, ,144011081,WWTP,Public,4,NULL,21.427368000000001,-157.752366999999992, ,y, ,15300000,14170000,0,https://www.honolulu.gov/env/wp-content/uploads/sites/29/2023/10/Kailua.pdf,https://uhm.maps.arcgis.com/sharing/rest/content/items/8a0b5955e9e34924a22ea8006f3390d7/data,1130000
Public,0,C&C Honolulu,https://go.hawaii.edu/mQb,Paalaa Kai Wastewater Treatment Plant; 768-4534 or 4535,322,C&C Honolulu,UO-1258,166034033,WWTP,Public,3,2/21/1980,21.575688000000000,-158.112072000000012, ,y, ,144000,113000,0,https://www.honolulu.gov/env/wp-content/uploads/sites/29/2023/10/Paalaa_Kai.pdf,https://uhm.maps.arcgis.com/sharing/rest/content/items/20f5eb34cb9e4f0e938d45e1a1482880/data,30000
Public,0,C&C Honolulu,https://go.hawaii.edu/8Qm,Sand Island WWTP/Synagro,323,C&C Honolulu, ,115041005,Biosolids,Public,4,NULL,21.305842999999999,-157.882202000000007, ,y, ,90000000,67000000,0,https://www.honolulu.gov/env/wp-content/uploads/sites/29/2023/10/Sand_Island.pdf,https://uhm.maps.arcgis.com/sharing/rest/content/items/e8ecd33538124a8f913f53b50c55346d/data,24000000
Public,0,C&C Honolulu,https://go.hawaii.edu/PWm,Wahiawa Wastewater Treatment Plant,324,C&C Honolulu, ,173007002,Reuse R2,Public,4,NULL,21.491481000000000,-158.039292999999986, ,y, ,2300000,1300000,0,https://www.honolulu.gov/env/wtd/wahiawa-wastewater-treatment-plant/ https://www.honolulu.gov/env/wp-content/uploads/sites/29/2023/10/Wahiawa.pdf,https://uhm.maps.arcgis.com/sharing/rest/content/items/a08f50c35914455ebebe81ed1b6d2e1e/data,1000000
Public,0,C&C Honolulu,https://go.hawaii.edu/mQm,Waianae WWTP,325,C&C Honolulu, ,186001044,WWTP,Public,4,NULL,21.433924999999999,-158.183071000000012, ,y, ,5200000,3300000,0,https://files.hawaii.gov/dbedt/erp/EA_EIS_Library/2016-09-23-OA-DEA-Waianae-Wastewater-Plant.pdf,https://uhm.maps.arcgis.com/sharing/rest/content/items/503b9902241a48168796121ace7f2a70/data,1700000
